product_id,name,category,sub_category,price,cost,stock_qty,is_active
P0036,Reactive multi-state hardware,Electronics,Mother,86.59,248.22,948,False
P0037,Organic holistic paradigm,Toys,Sit,402.65,61.97,382,True
P0038,Balanced static success,Toys,Listen,325.09,243.43,404,False
P0039,Proactive encompassing website,Beauty,Type,101.39,49.78,473,False
P0040,Proactive bandwidth-monitored adapter,Electronics,Appear,58.66,161.82,898,True
P0041,User-centric fault-tolerant intranet,Clothing,Most,43.52,207.48,645,True
P0042,Profit-focused heuristic project,Clothing,While,303.58,200.73,535,False
P0043,Robust fault-tolerant array,Toys,Affect,424.07,145.31,217,True
P0044,Inverse needs-based throughput,Electronics,Success,18.88,33.96,808,False
P0045,Cross-platform user-facing monitoring,Home & Kitchen,Billion,144.69,159.8,419,False
P0046,Reverse-engineered leadingedge customer loyalty,Clothing,Tonight,273.08,244.38,202,True
P0047,Total reciprocal Internet solution,Beauty,Lead,37.33,45.08,80,True
P0048,Integrated grid-enabled framework,Sports,System,300.57,226.23,294,False
P0049,Inverse user-facing matrix,Electronics,Mrs,379.48,130.28,443,True
P0050,Compatible 4thgeneration toolset,Toys,Family,158.01,110.48,178,True
P0051,Visionary intermediate groupware,Electronics,Too,278.09,26.7,712,False
P0052,Digitized systematic hardware,Toys,Know,321.0,200.69,324,True
P0053,Automated attitude-oriented paradigm,Electronics,Stage,21.02,127.06,984,False
P0054,Exclusive incremental portal,Sports,Determine,138.24,158.6,900,True
P0055,Programmable full-range benchmark,Beauty,Against,488.45,196.5,601,True
P0056,Adaptive asynchronous Internet solution,Toys,Cold,284.57,211.07,673,False
P0057,Multi-layered empowering artificial intelligence,Home & Kitchen,Have,284.05,157.57,114,False
P0058,Stand-alone interactive protocol,Toys,Avoid,396.16,66.54,160,True
P0059,Digitized interactive approach,Beauty,Management,27.61,139.12,482,False
P0060,Synergized global approach,Electronics,Government,160.72,237.28,907,False
P0061,Upgradable asymmetric artificial intelligence,Clothing,Only,472.04,52.53,119,False
P0062,Organized bifurcated monitoring,Clothing,Want,9.2,25.13,772,True
P0063,Organized radical firmware,Books,Place,181.54,110.48,122,False
P0064,Balanced interactive methodology,Toys,Sea,144.79,157.97,256,False
P0065,Innovative asymmetric moderator,Sports,Agency,202.08,149.14,26,False
P0066,Progressive demand-driven monitoring,Books,Finish,101.47,8.9,925,True
P0067,Progressive zero-defect hardware,Toys,Security,377.16,177.48,481,False
P0068,Versatile grid-enabled open system,Clothing,Model,364.22,230.31,201,False
P0069,Centralized attitude-oriented Graphic Interface,Home & Kitchen,Hear,487.06,21.54,283,True
P0070,Digitized 5thgeneration frame,Home & Kitchen,Bring,352.82,96.84,39,True
P0071,Self-enabling cohesive Local Area Network,Books,College,53.2,186.1,497,False
P0072,Future-proofed asynchronous policy,Clothing,Meeting,206.61,34.38,687,True
P0073,Assimilated neutral task-force,Clothing,Budget,372.02,114.52,553,False
P0074,Vision-oriented bandwidth-monitored task-force,Electronics,Trade,55.0,158.61,473,True
P0075,Secured transitional model,Sports,First,404.71,90.81,370,False
P0076,Quality-focused transitional productivity,Beauty,Name,79.34,61.45,281,False
P0077,Face-to-face even-keeled website,Home & Kitchen,Teach,295.65,224.68,131,True
P0078,Cross-group user-facing frame,Beauty,Including,194.15,75.64,959,False
P0079,Visionary explicit contingency,Sports,Begin,295.25,134.78,573,False
P0080,Advanced explicit migration,Electronics,News,426.75,62.82,96,True
P0081,Synchronized system-worthy customer loyalty,Electronics,Class,148.61,195.45,372,False
P0082,Extended secondary hierarchy,Toys,Material,80.01,196.94,451,False
P0083,Multi-tiered client-server access,Electronics,Majority,234.24,193.06,227,True
P0084,Profound 24/7 orchestration,Electronics,Bad,443.18,165.5,164,True
P0085,Function-based fresh-thinking implementation,Sports,Gun,51.18,70.19,416,False
P0086,Ergonomic 5thgeneration process improvement,Home & Kitchen,Open,360.64,233.87,524,False
P0087,Face-to-face human-resource Local Area Network,Electronics,Hard,442.78,157.6,451,False
P0088,Devolved zero administration neural-net,Sports,Every,404.7,160.32,530,False
P0089,Cloned global website,Toys,Almost,328.84,145.68,351,False
P0090,Re-contextualized incremental task-force,Books,Discuss,385.57,27.65,64,False
P0091,User-centric didactic portal,Clothing,Walk,84.72,115.86,461,False
P0092,Front-line transitional protocol,Electronics,Seem,482.02,149.78,289,False
P0093,Fundamental fault-tolerant encoding,Clothing,Must,260.57,28.56,388,False
P0094,Managed content-based functionalities,Electronics,Well,365.72,72.05,110,False
P0095,Synergized fresh-thinking benchmark,Clothing,Space,327.44,223.86,60,True
P0096,Multi-tiered systemic contingency,Books,Fall,465.46,25.01,674,True
P0097,Visionary global Internet solution,Books,Chance,174.0,124.57,401,False
P0098,Secured fresh-thinking benchmark,Clothing,Then,393.75,91.63,759,True
P0099,User-centric reciprocal circuit,Home & Kitchen,Conference,172.82,209.9,960,True
P0100,Extended encompassing moratorium,Beauty,Central,183.36,98.92,442,False
P0101,Reduced uniform paradigm,Home & Kitchen,Line,428.7,123.78,208,True
P0102,Secured responsive knowledgebase,Clothing,Every,218.3,7.45,311,False
P0103,Profound scalable protocol,Beauty,Drop,445.89,20.25,203,True
P0104,Extended holistic task-force,Books,Country,388.22,239.89,422,False
P0105,Optional zero administration secured line,Beauty,Avoid,196.88,20.93,190,True
P0106,Enterprise-wide non-volatile frame,Beauty,Democratic,108.37,172.46,618,False
P0107,Ergonomic optimizing moratorium,Toys,Lead,307.14,95.06,292,True
P0108,Profound 24/7 complexity,Electronics,Body,42.12,79.77,552,False
P0109,Reverse-engineered directional conglomeration,Books,To,80.44,227.26,632,True
P0110,Organic transitional solution,Clothing,Any,315.76,202.52,515,False
P0111,Cross-group clear-thinking conglomeration,Electronics,Professor,251.27,46.59,541,False
P0112,Object-based actuating system engine,Clothing,Organization,403.34,4.51,453,True
P0113,Persistent actuating leverage,Electronics,Grow,75.6,46.31,121,True
P0114,Enhanced maximized orchestration,Home & Kitchen,Thus,435.88,142.69,707,True
P0115,Balanced coherent architecture,Home & Kitchen,Radio,275.83,152.45,61,False
P0116,Optimized 3rdgeneration Graphical User Interface,Electronics,Huge,484.63,9.8,671,True
P0117,Seamless background function,Sports,Table,391.82,244.03,264,False
P0118,Stand-alone needs-based knowledge user,Home & Kitchen,Parent,48.15,248.45,991,True
P0119,Robust eco-centric policy,Electronics,Read,51.59,122.01,123,False
P0120,Configurable interactive matrices,Home & Kitchen,Set,160.29,154.27,234,False
P0121,Assimilated encompassing support,Electronics,Market,467.36,137.53,127,False
P0122,Right-sized explicit attitude,Electronics,Kitchen,84.93,41.28,64,True
P0123,Virtual client-server policy,Sports,Threat,143.66,185.94,926,True
P0124,Vision-oriented content-based function,Clothing,Impact,184.85,231.79,46,True
P0125,Right-sized tangible core,Clothing,Hear,49.17,49.83,599,True
P0126,Realigned systematic hierarchy,Books,Which,93.7,9.33,282,True
P0127,Open-source fresh-thinking extranet,Sports,Former,387.11,7.71,254,False
P0128,Cross-group background projection,Home & Kitchen,International,132.68,128.91,77,True
P0129,Secured empowering monitoring,Sports,Help,239.26,39.78,554,True
P0130,Re-contextualized next generation orchestration,Clothing,Author,131.73,216.98,113,True
P0131,Front-line upward-trending capacity,Beauty,Top,438.95,30.47,292,False
P0132,Cross-group tertiary website,Books,It,326.89,55.81,241,False
P0133,Synergistic attitude-oriented portal,Clothing,Education,74.52,83.23,913,True
P0134,Synergistic radical attitude,Beauty,World,66.36,56.5,645,False
P0135,Grass-roots multi-state conglomeration,Beauty,Require,286.52,182.48,726,True
P0136,Optional empowering pricing structure,Home & Kitchen,Adult,24.6,235.08,743,True
P0137,Configurable multimedia Internet solution,Sports,World,430.21,68.36,424,True
P0138,Digitized client-driven artificial intelligence,Toys,City,203.46,121.43,411,True
P0139,Advanced systemic model,Home & Kitchen,Drug,429.22,238.4,412,True
P0140,Sharable human-resource contingency,Home & Kitchen,Customer,458.98,88.44,113,True
P0141,Universal regional algorithm,Electronics,Garden,68.85,138.77,235,True
P0142,Future-proofed full-range solution,Home & Kitchen,Sport,186.53,74.99,761,True
P0143,Digitized tangible flexibility,Books,One,423.19,186.81,853,True
P0144,Profit-focused zero administration secured line,Beauty,Lead,476.26,124.96,910,True
P0145,Inverse high-level Graphic Interface,Home & Kitchen,Scientist,189.97,129.14,718,False
P0146,Ameliorated cohesive extranet,Home & Kitchen,Exactly,342.69,101.19,284,True
P0147,Programmable zero administration definition,Toys,Simply,255.44,49.88,517,False
P0148,Extended tertiary migration,Beauty,Increase,135.1,44.89,220,False
P0149,Expanded multimedia parallelism,Toys,Their,438.39,172.39,185,True
P0150,User-centric explicit groupware,Electronics,Congress,342.87,222.05,814,True
P0151,Horizontal foreground capability,Toys,Small,312.2,71.71,218,False
P0152,Mandatory high-level open system,Electronics,Sing,323.71,99.42,365,False
P0153,Inverse analyzing model,Toys,Rest,371.82,146.74,662,False
P0154,Balanced 5thgeneration access,Clothing,Kitchen,126.18,192.08,304,True
P0155,Right-sized fresh-thinking frame,Toys,Participant,411.51,79.27,732,True
P0156,Realigned uniform Graphical User Interface,Beauty,Couple,8.93,198.94,620,False
P0157,Down-sized analyzing Graphic Interface,Clothing,Event,427.26,238.53,304,False
P0158,Business-focused mobile encryption,Home & Kitchen,Eye,148.88,122.98,761,True
P0159,Reverse-engineered modular help-desk,Clothing,Person,83.31,220.95,13,False
P0160,Virtual solution-oriented forecast,Books,Believe,202.64,107.09,106,True
P0161,Multi-lateral bifurcated artificial intelligence,Books,Tonight,41.12,187.28,199,True
P0162,Right-sized mission-critical data-warehouse,Beauty,Throw,197.17,204.34,525,True
P0163,Innovative logistical info-mediaries,Toys,Speech,233.83,156.48,939,True
P0164,Reduced value-added firmware,Toys,Soon,51.28,152.61,727,True
P0165,Up-sized bifurcated benchmark,Books,Generation,235.61,108.47,647,True
P0166,Ameliorated heuristic moderator,Toys,Approach,323.03,142.65,498,True
P0167,Realigned multimedia info-mediaries,Electronics,Learn,450.56,94.74,766,False
P0168,Compatible foreground forecast,Electronics,Strong,235.1,158.91,322,False
P0169,Ergonomic eco-centric benchmark,Sports,Final,47.48,17.94,883,False
P0170,Realigned 24hour encryption,Books,Direction,367.23,43.48,938,False
P0171,Object-based high-level complexity,Beauty,East,459.14,10.37,714,True
P0172,Secured 4thgeneration Graphic Interface,Home & Kitchen,Itself,461.63,128.82,254,False
P0173,Cross-platform attitude-oriented architecture,Clothing,Country,385.27,147.54,184,False
P0174,Expanded uniform model,Electronics,Write,103.74,74.78,332,False
P0175,Optimized logistical parallelism,Home & Kitchen,Support,167.72,207.02,707,False
P0176,Reverse-engineered bottom-line process improvement,Clothing,Generation,162.06,161.98,81,False
P0177,Focused explicit throughput,Clothing,Deal,498.24,241.36,180,True
P0178,Re-contextualized zero administration Graphic Interface,Toys,Run,245.72,89.36,201,False
P0179,Organized optimizing groupware,Books,Maintain,352.63,9.43,350,False
P0180,Customer-focused user-facing structure,Home & Kitchen,Pick,240.73,46.62,931,False
P0181,De-engineered cohesive capability,Home & Kitchen,Into,142.8,82.02,476,True
P0182,Open-source next generation encoding,Books,Most,23.95,198.14,155,True
P0183,Assimilated methodical product,Books,Authority,82.09,90.72,995,False
P0184,Seamless 4thgeneration paradigm,Books,Attack,237.63,20.01,23,False
P0185,Cloned user-facing emulation,Beauty,At,321.91,164.92,692,True
P0186,Managed cohesive service-desk,Books,Good,163.49,94.25,495,False
P0187,Robust global help-desk,Sports,Yes,20.51,195.32,448,True
P0188,Versatile 6thgeneration ability,Toys,You,302.53,32.33,352,False
P0189,Extended maximized attitude,Beauty,East,193.24,81.01,31,True
P0190,Fully-configurable dedicated methodology,Home & Kitchen,Never,468.55,4.7,191,False
P0191,Organic local function,Clothing,Black,183.94,83.56,280,True
P0192,Distributed incremental leverage,Toys,Nor,217.9,117.41,912,False
P0193,Optimized bottom-line system engine,Beauty,Condition,239.34,199.22,88,True
P0194,Innovative zero-defect customer loyalty,Clothing,Admit,31.77,224.89,184,False
P0195,Programmable fault-tolerant software,Books,Range,434.67,141.29,705,False
P0196,Polarized clear-thinking data-warehouse,Books,Knowledge,476.56,97.63,788,False
P0197,Open-source stable algorithm,Sports,Enough,343.42,151.25,883,True
P0198,Upgradable asynchronous info-mediaries,Books,How,138.57,132.76,19,True
P0199,Enhanced actuating methodology,Sports,Matter,319.67,27.52,618,False
P0200,De-engineered 4thgeneration functionalities,Sports,Magazine,46.38,70.96,370,True
P0201,Cross-group eco-centric focus group,Books,Notice,39.28,152.76,495,False
P0202,Re-engineered mobile hierarchy,Sports,Modern,205.51,221.07,607,False
P0203,Open-architected high-level array,Sports,Item,152.68,215.26,11,True
P0204,Versatile 4thgeneration middleware,Toys,Anything,357.54,20.56,510,True
P0205,Re-contextualized background instruction set,Clothing,Crime,436.29,223.38,904,True
P0206,Grass-roots upward-trending product,Books,Break,264.77,106.59,263,False
P0207,Open-source systemic pricing structure,Electronics,Blue,336.47,189.54,493,False
P0208,Cloned logistical strategy,Sports,Go,133.43,80.81,122,False
P0209,Fundamental discrete architecture,Beauty,Present,416.12,81.39,56,True
P0210,Upgradable zero administration Graphic Interface,Books,Water,50.76,50.89,848,False
P0211,Switchable intermediate workforce,Sports,Leader,451.31,201.08,27,False
P0212,Organic systemic functionalities,Sports,More,174.3,125.67,590,False
P0213,Streamlined analyzing neural-net,Toys,Crime,377.82,247.58,706,True
P0214,Cross-platform demand-driven encoding,Beauty,Prove,86.44,106.47,307,False
P0215,Balanced human-resource Local Area Network,Toys,During,177.89,32.77,865,False
P0216,Ameliorated bi-directional archive,Beauty,Popular,212.46,44.44,243,False
P0217,Polarized heuristic structure,Clothing,Thought,240.37,83.06,547,True
P0218,Advanced reciprocal complexity,Beauty,Day,345.97,96.95,525,False
P0219,Horizontal multi-state artificial intelligence,Electronics,Cut,84.54,144.95,181,True
P0220,Organic value-added challenge,Clothing,Commercial,349.86,72.69,783,False
P0221,Self-enabling responsive access,Home & Kitchen,Record,180.57,161.63,160,False
P0222,Visionary tangible alliance,Electronics,Letter,347.99,214.31,803,False
P0223,Implemented needs-based matrices,Clothing,Meeting,197.62,247.01,106,True
P0224,Integrated 3rdgeneration frame,Toys,Medical,9.92,228.09,112,True
P0225,Business-focused client-driven complexity,Electronics,Recently,392.62,72.52,321,True
P0226,Secured homogeneous migration,Home & Kitchen,Fight,300.58,210.73,833,True
P0227,Right-sized logistical implementation,Sports,View,43.52,101.9,763,True
P0228,Reverse-engineered systematic core,Books,Choice,335.64,224.17,353,True
P0229,Implemented tertiary ability,Clothing,Impact,310.17,229.67,473,True
P0230,Streamlined value-added data-warehouse,Electronics,Exactly,165.25,11.7,512,False
P0231,Profound systematic encoding,Electronics,Population,493.25,161.9,762,False
P0232,Decentralized client-server implementation,Home & Kitchen,Special,469.79,19.22,369,False
P0233,Integrated asymmetric conglomeration,Home & Kitchen,Shoulder,372.7,25.59,568,True
P0234,Inverse intangible model,Toys,Maybe,369.68,201.02,273,True
P0235,Down-sized disintermediate portal,Toys,Line,161.68,181.37,689,True
P0236,Synergistic holistic Graphic Interface,Toys,Return,79.5,70.12,508,True
P0237,Extended user-facing service-desk,Toys,Try,232.04,188.92,269,False
P0238,Down-sized fresh-thinking emulation,Toys,Might,78.01,101.29,383,False
P0239,Innovative human-resource focus group,Clothing,Find,432.83,140.0,479,True
P0240,Right-sized neutral circuit,Home & Kitchen,Boy,61.24,79.67,23,True
P0241,Self-enabling analyzing algorithm,Books,Nation,485.14,153.86,857,False
P0242,Extended zero tolerance task-force,Clothing,College,206.16,99.55,371,True
P0243,Pre-emptive cohesive strategy,Toys,Data,262.74,174.72,318,True
P0244,Profound client-driven application,Toys,Doctor,6.82,114.74,737,True
P0245,Reverse-engineered eco-centric application,Sports,Staff,228.03,212.47,351,False
P0246,Upgradable context-sensitive knowledge user,Books,Road,417.09,241.85,922,False
P0247,Distributed dynamic flexibility,Clothing,Easy,67.23,32.11,540,True
P0248,Advanced holistic architecture,Clothing,Evidence,227.42,94.73,803,True
P0249,Re-contextualized user-facing paradigm,Toys,Cut,484.88,155.26,689,False
P0250,Synergized systematic instruction set,Clothing,Company,53.24,9.26,887,True
P0251,Universal mobile functionalities,Electronics,Owner,113.22,13.86,895,False
P0252,Vision-oriented systemic architecture,Beauty,Police,489.62,4.58,933,False
P0253,Public-key well-modulated migration,Clothing,Knowledge,212.99,28.07,873,True
P0254,Secured motivating moderator,Electronics,Commercial,275.31,82.07,620,True
P0255,Programmable full-range hardware,Beauty,Start,87.22,172.52,505,True
P0256,Down-sized incremental archive,Beauty,Hit,191.89,110.05,125,False
P0257,Team-oriented clear-thinking contingency,Clothing,Read,177.3,44.21,286,False
P0258,Phased 24/7 alliance,Books,Western,476.43,49.41,712,False
P0259,Configurable logistical solution,Beauty,Hour,486.01,225.76,541,False
P0260,Automated bi-directional solution,Electronics,Wonder,290.53,93.48,755,True
P0261,Ergonomic motivating throughput,Beauty,Imagine,12.11,225.91,665,True
P0262,Multi-lateral bi-directional interface,Books,Exist,407.82,247.41,31,True
P0263,Adaptive client-server orchestration,Home & Kitchen,Than,13.01,233.66,161,False
P0264,Diverse holistic hierarchy,Electronics,News,448.84,217.27,430,True
P0265,Synchronized secondary analyzer,Beauty,Kitchen,253.53,66.4,886,True
P0266,Quality-focused context-sensitive time-frame,Electronics,Rich,434.54,196.67,235,True
P0267,Sharable optimizing website,Beauty,Surface,351.16,29.48,685,True
P0268,Persistent cohesive hierarchy,Sports,Character,326.21,236.89,155,True
P0269,Self-enabling global throughput,Electronics,Heart,230.72,20.61,375,True
P0270,Exclusive upward-trending challenge,Books,Tree,208.14,83.67,519,True
P0271,User-centric 3rdgeneration database,Toys,Family,179.34,153.96,41,True
P0272,Centralized high-level moratorium,Sports,Us,273.52,203.5,260,False
P0273,Innovative solution-oriented neural-net,Toys,Response,263.97,68.94,601,False
P0274,Persevering holistic array,Clothing,Policy,383.72,44.24,768,True
P0275,Customer-focused tangible installation,Electronics,Moment,61.12,36.17,722,False
P0276,Fundamental national Graphic Interface,Clothing,Represent,92.03,116.25,451,True
P0277,Right-sized explicit structure,Home & Kitchen,North,217.05,33.32,378,False
P0278,Seamless demand-driven process improvement,Clothing,Lot,92.56,215.75,221,True
P0279,Versatile heuristic capability,Electronics,Item,299.47,188.75,772,True
P0280,Reactive grid-enabled support,Clothing,Board,273.67,222.17,101,False
P0281,Virtual national monitoring,Electronics,Rest,193.87,241.53,208,False
P0282,Profit-focused 5thgeneration database,Electronics,Current,423.32,104.5,952,False
P0283,Programmable modular complexity,Sports,Thousand,345.83,112.8,987,True
P0284,Expanded demand-driven attitude,Toys,Really,221.56,32.35,396,True
P0285,Managed tangible productivity,Toys,Maintain,145.21,132.84,664,False
P0286,Multi-channeled discrete leverage,Books,Police,312.09,145.32,120,False
P0287,Reduced demand-driven capability,Clothing,Specific,462.94,165.99,998,False
P0288,Focused disintermediate emulation,Toys,Start,429.21,244.13,290,True
P0289,Self-enabling client-driven artificial intelligence,Clothing,Shake,497.7,81.83,908,True
P0290,Ameliorated homogeneous access,Books,Body,403.94,183.25,651,True
P0291,Customizable executive structure,Beauty,Newspaper,56.39,58.01,705,False
P0292,Enhanced coherent instruction set,Clothing,Significant,326.56,67.43,567,True
P0293,Public-key upward-trending function,Beauty,Economy,310.05,75.47,930,True
P0294,Streamlined radical attitude,Sports,Degree,208.58,22.53,944,False
P0295,Adaptive coherent solution,Beauty,Hard,250.72,140.51,470,True
P0296,Robust composite intranet,Home & Kitchen,Reach,377.1,218.47,991,True
P0297,Customer-focused foreground flexibility,Books,Even,463.98,165.55,907,False
P0298,Extended next generation installation,Books,Law,54.35,184.35,549,True
P0299,Function-based well-modulated info-mediaries,Beauty,True,224.83,53.06,189,True
